Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 14:18:17
Elapsed Time,00:00:09:974
Samples,1693

--Statistics--
Minimum [W],7.7399E-05
Maximum [W],0.00012807
Mean [W],0.00011702
Standard Deviation [W],2.0368E-05
Ratio,1.655 : 1

--Graph Data--
Time (ms),Power (W)
1364.000,7.7549E-05
1367.000,7.7546E-05
1370.000,7.7569E-05
1374.000,7.7536E-05
1377.000,7.7605E-05
1404.000,7.7605E-05
1408.000,7.7572E-05
1411.000,7.7592E-05
1415.000,7.7624E-05
1418.000,7.766E-05
1422.000,7.7686E-05
1425.000,7.7663E-05
1452.000,7.7699E-05
1455.000,7.7722E-05
1458.000,7.7725E-05
1462.000,7.7716E-05
1465.000,7.7725E-05
1468.000,7.7794E-05
1474.000,7.7836E-05
1477.000,7.782E-05
1502.000,7.7875E-05
1505.000,7.783E-05
1512.000,7.7869E-05
1515.000,7.7888E-05
1519.000,7.7934E-05
1523.000,7.7963E-05
1532.000,7.7993E-05
1535.000,7.7996E-05
1539.000,7.8009E-05
1542.000,7.799E-05
1546.000,7.8003E-05
1549.000,7.7973E-05
1553.000,7.7934E-05
1556.000,7.7921E-05
1559.000,7.7924E-05
1563.000,7.7905E-05
1566.000,7.7895E-05
1570.000,7.7911E-05
1573.000,7.7918E-05
1576.000,7.7924E-05
1602.000,7.7941E-05
1606.000,7.782E-05
1609.000,7.7804E-05
1613.000,7.78E-05
1616.000,7.7794E-05
1619.000,7.7787E-05
1623.000,7.7778E-05
1626.000,7.7791E-05
1651.000,7.7787E-05
1655.000,7.7738E-05
1658.000,7.7706E-05
1661.000,7.7657E-05
1665.000,7.7673E-05
1668.000,7.7673E-05
1671.000,7.7644E-05
1674.000,7.7627E-05
1702.000,7.7654E-05
1705.000,7.752E-05
1709.000,7.7507E-05
1712.000,7.7474E-05
1716.000,7.7455E-05
1719.000,7.7458E-05
1722.000,7.7471E-05
1726.000,7.7435E-05
1753.000,7.7458E-05
1756.000,7.7481E-05
1762.000,7.7458E-05
1765.000,7.7399E-05
1769.000,7.7442E-05
1773.000,7.7474E-05
1776.000,7.7419E-05
1806.000,7.7572E-05
1810.000,7.7507E-05
1813.000,7.7513E-05
1816.000,7.7539E-05
1820.000,7.7556E-05
1823.000,7.7546E-05
1826.000,7.7546E-05
1831.000,7.7507E-05
1834.000,7.7546E-05
1838.000,7.7549E-05
1841.000,7.7601E-05
1845.000,7.7624E-05
1848.000,7.7657E-05
1854.000,7.7667E-05
1857.000,7.7689E-05
1861.000,7.7689E-05
1864.000,7.7702E-05
1867.000,7.7699E-05
1871.000,7.7755E-05
1874.000,7.7725E-05
1877.000,7.7745E-05
1903.000,7.7967E-05
1906.000,7.7983E-05
1910.000,7.8006E-05
1913.000,7.7996E-05
1916.000,7.798E-05
1921.000,7.7954E-05
1924.000,7.7944E-05
1927.000,7.7937E-05
1955.000,7.7983E-05
1958.000,7.7976E-05
1962.000,7.798E-05
1965.000,7.8029E-05
1969.000,7.8038E-05
1972.000,7.8029E-05
1976.000,7.8048E-05
2001.000,7.8016E-05
2004.000,7.8058E-05
2008.000,7.8038E-05
2012.000,7.8048E-05
2016.000,7.8009E-05
2019.000,7.8029E-05
2023.000,7.7993E-05
2026.000,7.799E-05
2051.000,7.795E-05
2055.000,0.00011061
2060.000,0.00011635
2063.000,0.00011854
2067.000,0.00012062
2071.000,0.00012196
2074.000,0.00012344
