Optical Parameter Monitor,,,,,Start angle scan
7.0.5319.1035,,,,,Angle = 180.00 deg
Delimiter Used: ; ';',,,,,Angle = 184.99 deg
,,,,,Angle = 190.00 deg
Start of Measurement ; 2/2/2026 15:11:10,,,,,Angle = 194.99 deg
Sample Interval ; 1 s,,,,,Angle = 200.01 deg
; PM100D 250305506,,,,,Angle = 205.01 deg
Type; PM100D,,,,,Angle = 209.99 deg
Serialnumber; P0046669,,,,,Angle = 215.00 deg
Sensor; S120C,,,,,Angle = 220.00 deg
SensorSerialnumber; 250305506,,,,,Angle = 225.00 deg
Wavelength / Responsivity; 633 nm,,,,,Angle = 230.01 deg
,,,,,Angle = 235.00 deg
;;;PM100D 250305506; ,,,,,Angle = 239.99 deg
Samples ;Date (MM/dd/yyyy) ;Time of day (hh:mm:ss) ;Power (W);,,,,,Angle = 244.99 deg
74; 2/2/2026; 15:12:26.064;0,55695,,,,
75; 2/2/2026; 15:12:27.079;0,56731,,,,
76; 2/2/2026; 15:12:28.095;0,56921,,,,
77; 2/2/2026; 15:12:29.112;0,56776,,,,
78; 2/2/2026; 15:12:30.129;0,50477,,,,
79; 2/2/2026; 15:12:31.147;0,50458,,,,
80; 2/2/2026; 15:12:32.164;0,50008,,,,
81; 2/2/2026; 15:12:33.179;0,50547,,,,
82; 2/2/2026; 15:12:34.191;0,50453,,,,
83; 2/2/2026; 15:12:35.206;0,50294,,,,
84; 2/2/2026; 15:12:36.224;0,43097,,,,
85; 2/2/2026; 15:12:37.241;0,42928,,,,
86; 2/2/2026; 15:12:38.258;0,42959,,,,
87; 2/2/2026; 15:12:39.270;0,4305,,,,
88; 2/2/2026; 15:12:40.287;0,43212,,,,
89; 2/2/2026; 15:12:41.303;0,35337,,,,
90; 2/2/2026; 15:12:42.316;0,35389,,,,
91; 2/2/2026; 15:12:43.334;0,35415,,,,
92; 2/2/2026; 15:12:44.353;0,35639,,,,
93; 2/2/2026; 15:12:45.369;0,35428,,,,
94; 2/2/2026; 15:12:46.382;0,28278,,,,
95; 2/2/2026; 15:12:47.397;0,28327,,,,
96; 2/2/2026; 15:12:48.413;0,28221,,,,
97; 2/2/2026; 15:12:49.433;0,28228,,,,
98; 2/2/2026; 15:12:50.457;0,28111,,,,
99; 2/2/2026; 15:12:51.476;0,21036,,,,
100; 2/2/2026; 15:12:52.494;0,21273,,,,
101; 2/2/2026; 15:12:53.510;0,2126,,,,
102; 2/2/2026; 15:12:54.537;0,21312,,,,
103; 2/2/2026; 15:12:55.553;0,2112,,,,
104; 2/2/2026; 15:12:56.567;0,21068,,,,
105; 2/2/2026; 15:12:57.583;0,15032,,,,
106; 2/2/2026; 15:12:58.598;0,14842,,,,
107; 2/2/2026; 15:12:59.615;0,14993,,,,
108; 2/2/2026; 15:13:00.635;0,14886,,,,
109; 2/2/2026; 15:13:01.652;0,14953,,,,
110; 2/2/2026; 15:13:02.668;0,10025,,,,
111; 2/2/2026; 15:13:03.684;0,1007,,,,
112; 2/2/2026; 15:13:04.701;9,8.88E-02,,,,
113; 2/2/2026; 15:13:05.719;9,8.80E-02,,,,
114; 2/2/2026; 15:13:06.739;9,9.87E-02,,,,
115; 2/2/2026; 15:13:07.754;6,7.51E-03,,,,
116; 2/2/2026; 15:13:08.779;6,6.88E-03,,,,
117; 2/2/2026; 15:13:09.790;6,9.62E-03,,,,
118; 2/2/2026; 15:13:10.806;6,1.07E-02,,,,
119; 2/2/2026; 15:13:11.824;6,1.41E-03,,,,
120; 2/2/2026; 15:13:12.837;6,9.51E-03,,,,
121; 2/2/2026; 15:13:13.849;3,3.16E-02,,,,
122; 2/2/2026; 15:13:14.856;3,3.10E-02,,,,
123; 2/2/2026; 15:13:15.869;3,3.04E-02,,,,
124; 2/2/2026; 15:13:16.899;3,3.03E-02,,,,
