Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 14:11:13
Elapsed Time,00:00:09:975
Samples,1670

--Statistics--
Minimum [W],2.1288E-06
Maximum [W],0.0007734
Mean [W],0.00011881
Standard Deviation [W],4.5235E-05
Ratio,363.303 : 1

--Graph Data--
Time (ms),Power (W)
0.000,7.0043E-05
4.000,6.9988E-05
7.000,6.9981E-05
10.000,6.9974E-05
13.000,6.9945E-05
17.000,6.9968E-05
20.000,6.9971E-05
23.000,6.9988E-05
51.000,6.9974E-05
54.000,6.9955E-05
58.000,6.9958E-05
61.000,6.9968E-05
64.000,6.9974E-05
68.000,6.9981E-05
71.000,7.0001E-05
75.000,6.9981E-05
99.000,6.9965E-05
103.000,6.9974E-05
106.000,6.9971E-05
109.000,6.9961E-05
115.000,6.9961E-05
119.000,6.9981E-05
122.000,7.0014E-05
125.000,7.0014E-05
152.000,7.0036E-05
158.000,7.003E-05
161.000,7.0027E-05
165.000,7.0069E-05
168.000,7.0053E-05
171.000,7.0108E-05
175.000,7.0082E-05
200.000,7.0092E-05
203.000,7.0144E-05
207.000,7.0151E-05
210.000,7.0134E-05
213.000,7.0115E-05
217.000,7.0115E-05
220.000,7.0138E-05
223.000,7.0134E-05
229.000,7.0177E-05
233.000,7.0147E-05
237.000,7.016E-05
240.000,7.0164E-05
244.000,7.0177E-05
247.000,7.0164E-05
250.000,7.0138E-05
253.000,7.017E-05
256.000,7.0141E-05
259.000,7.0157E-05
263.000,7.0138E-05
266.000,7.0144E-05
269.000,7.0144E-05
272.000,7.0154E-05
276.000,7.0177E-05
301.000,7.016E-05
305.000,7.0187E-05
308.000,7.0177E-05
311.000,7.0167E-05
314.000,7.0141E-05
318.000,7.0131E-05
322.000,7.0138E-05
325.000,7.0134E-05
352.000,7.0157E-05
356.000,7.018E-05
359.000,7.0173E-05
362.000,7.0154E-05
366.000,7.0141E-05
369.000,7.0154E-05
372.000,7.0134E-05
376.000,7.0147E-05
400.000,7.0167E-05
404.000,7.0183E-05
407.000,7.0141E-05
413.000,7.0131E-05
417.000,7.0085E-05
420.000,7.0098E-05
423.000,7.0076E-05
454.000,7.0085E-05
457.000,7.0151E-05
460.000,7.0157E-05
464.000,7.0157E-05
467.000,7.0095E-05
471.000,7.0121E-05
474.000,7.0098E-05
499.000,7.0072E-05
502.000,7.0059E-05
505.000,7.0046E-05
509.000,7.0053E-05
512.000,7.005E-05
516.000,7.0076E-05
519.000,7.0089E-05
522.000,7.0128E-05
525.000,7.0082E-05
529.000,7.0079E-05
533.000,7.0046E-05
537.000,7.0053E-05
540.000,7.0033E-05
544.000,7.0014E-05
547.000,7.0033E-05
550.000,7.0043E-05
554.000,7.0053E-05
557.000,7.0027E-05
561.000,7.0056E-05
564.000,7.0069E-05
568.000,7.0036E-05
572.000,7.0043E-05
576.000,7.0069E-05
601.000,7.005E-05
605.000,7.0069E-05
609.000,7.0079E-05
612.000,7.0069E-05
616.000,7.0098E-05
620.000,7.0076E-05
624.000,7.0069E-05
651.000,7.0059E-05
655.000,7.2796E-05
659.000,7.8714E-05
662.000,8.697E-05
669.000,9.7624E-05
673.000,0.00010183
698.000,0.00010457
701.000,0.00011309
705.000,0.00011332
708.000,0.00011372
712.000,0.00011393
715.000,0.00011405
719.000,0.00011439
723.000,0.00011439
749.000,0.00011457
752.000,0.00011471
756.000,0.00011488
759.000,0.00011479
763.000,0.00011489
766.000,0.0001148
770.000,0.00011491
773.000,0.00011492
798.000,0.00011495
802.000,0.00011485
805.000,0.00011478
808.000,0.00011486
812.000,0.0001148
815.000,0.00011483
819.000,0.00011482
822.000,0.00011482
825.000,0.00011485
831.000,0.0001148
835.000,0.0001153
838.000,0.00011549
842.000,0.00011566
846.000,0.00011573
849.000,0.00011583
852.000,0.00011586
855.000,0.00011591
859.000,0.000116
862.000,0.00011599
866.000,0.00011596
869.000,0.00011592
873.000,0.00011594
876.000,0.00011593
903.000,0.00011585
907.000,0.00011587
