Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 14:16:20
Elapsed Time,00:00:09:999
Samples,1703

--Statistics--
Minimum [W],3.3869E-05
Maximum [W],6.4961E-05
Mean [W],4.611E-05
Standard Deviation [W],1.4953E-05
Ratio,1.918 : 1

--Graph Data--
Time (ms),Power (W)
0.000,6.4677E-05
4.000,6.4628E-05
7.000,6.4605E-05
10.000,6.4612E-05
38.000,6.4615E-05
42.000,6.4859E-05
45.000,6.4827E-05
48.000,6.4781E-05
52.000,6.4706E-05
55.000,6.4719E-05
58.000,6.468E-05
83.000,6.4647E-05
87.000,6.4863E-05
90.000,6.4882E-05
93.000,6.4889E-05
97.000,6.485E-05
100.000,6.4814E-05
104.000,6.4742E-05
107.000,6.4726E-05
111.000,6.4703E-05
138.000,6.4873E-05
141.000,6.4935E-05
147.000,6.4921E-05
151.000,6.4925E-05
154.000,6.4873E-05
157.000,6.4856E-05
162.000,6.4801E-05
188.000,6.4935E-05
191.000,6.4948E-05
195.000,6.4961E-05
198.000,6.4954E-05
201.000,6.4941E-05
205.000,6.4892E-05
208.000,6.4876E-05
214.000,6.4811E-05
218.000,6.482E-05
222.000,6.4811E-05
225.000,6.4807E-05
229.000,6.484E-05
232.000,6.4827E-05
235.000,6.4853E-05
239.000,6.4892E-05
242.000,6.4938E-05
246.000,6.4918E-05
249.000,6.4948E-05
252.000,6.4935E-05
256.000,6.4915E-05
259.000,6.4895E-05
285.000,6.4869E-05
289.000,6.4899E-05
292.000,6.4892E-05
296.000,6.4899E-05
299.000,6.4879E-05
303.000,6.4892E-05
307.000,6.4895E-05
310.000,6.4863E-05
335.000,6.4833E-05
339.000,6.4745E-05
343.000,6.4768E-05
346.000,6.4762E-05
350.000,6.4791E-05
353.000,6.4807E-05
357.000,6.4843E-05
360.000,6.4824E-05
385.000,6.4814E-05
389.000,6.47E-05
392.000,6.4742E-05
395.000,6.4736E-05
402.000,6.4742E-05
405.000,6.4726E-05
408.000,6.4771E-05
436.000,6.4729E-05
439.000,6.4644E-05
443.000,6.4654E-05
446.000,6.4628E-05
449.000,6.4641E-05
453.000,6.4674E-05
456.000,6.4696E-05
459.000,6.4729E-05
464.000,6.4729E-05
489.000,6.467E-05
493.000,6.4687E-05
496.000,6.4641E-05
499.000,6.4641E-05
503.000,6.466E-05
506.000,6.467E-05
509.000,6.466E-05
513.000,6.4706E-05
516.000,6.4693E-05
520.000,6.4729E-05
523.000,6.4729E-05
527.000,6.4742E-05
530.000,6.4742E-05
533.000,6.4687E-05
536.000,6.4647E-05
540.000,6.4644E-05
543.000,6.4621E-05
546.000,6.4605E-05
549.000,6.4546E-05
553.000,6.4582E-05
588.000,6.4644E-05
591.000,6.4687E-05
595.000,6.4628E-05
598.000,6.4595E-05
601.000,6.4589E-05
605.000,6.4585E-05
608.000,6.4625E-05
636.000,6.4647E-05
639.000,6.47E-05
643.000,6.4687E-05
646.000,6.4631E-05
650.000,6.4618E-05
656.000,6.4612E-05
659.000,6.4644E-05
684.000,6.468E-05
688.000,6.4726E-05
691.000,6.4732E-05
695.000,6.4742E-05
698.000,6.4752E-05
702.000,6.4739E-05
705.000,6.47E-05
708.000,6.4732E-05
738.000,6.4736E-05
741.000,6.4843E-05
745.000,6.482E-05
753.000,6.4762E-05
757.000,6.4755E-05
786.000,6.4739E-05
790.000,6.4863E-05
794.000,6.4843E-05
797.000,6.4827E-05
800.000,6.4807E-05
804.000,6.4807E-05
807.000,6.4811E-05
810.000,6.4794E-05
816.000,6.4755E-05
820.000,6.4752E-05
824.000,6.4804E-05
827.000,6.4798E-05
830.000,6.4837E-05
834.000,6.482E-05
837.000,6.4853E-05
840.000,6.4859E-05
844.000,6.4843E-05
847.000,6.4827E-05
850.000,6.4824E-05
854.000,6.4827E-05
857.000,6.4843E-05
860.000,6.483E-05
885.000,6.4811E-05
889.000,6.4798E-05
892.000,6.4824E-05
895.000,6.4837E-05
899.000,6.4807E-05
